# Ismailescu-Son (2014), Table 2: partial covering system quadruples (p_i, m_i, r_i, c_i)
# every even 2n satisfies 2n == r_i (mod m_i) for some i; p_i | F_{m_i}
# transcribed from J. Integer Seq. 17 (2014) Article 14.8.2, p. 6
2	3	1	1
5	5	1	2
13	7	1	5
17	9	3	11
29	14	2	5
41	20	4	3
61	15	2	41
181	90	8	46
241	120	14	109
281	28	4	207
421	21	3	171
541	90	38	243
1009	126	90	294
1601	80	34	1259
2161	40	10	1706
2521	60	20	636
3041	80	74	790
8641	360	18	4664
20641	120	110	1405
31249	126	42	901
103681	72	54	80856
109441	45	23	16635
141961	35	12	12156
721561	420	180	529617
1461601	252	186	970625
35239681	63	6	25860534
764940961	252	0	562105967
8288823481	105	33	83463210
10783342081	180	162	7785411056
571385160581761	504	222	49367403415248
